SourceID Photons AvgX AvgY
2401 42304 1999.075548 429.169653
2402 42041 936.936728 1813.196142
2403 41870 3536.897636 429.001696
2404 42246 2279.916465 1627.952232
2405 42089 2471.776450 509.901875
2406 41663 2938.100857 1151.104505
2407 42037 637.282727 3774.969265
2408 42121 1371.069229 2061.318369
2409 42149 2049.858170 2626.938290
2410 41960 344.020639 1566.799500
2411 41780 2783.881283 3190.962183
2412 42069 494.039388 1996.953172
2413 42005 2587.010737 2102.927318
2414 42156 790.911519 2462.035914
2415 41872 1131.861841 1030.960976
2416 41820 3640.187661 421.974295
2417 41882 920.234444 3505.979394
2418 42061 1567.975393 3016.170348
2419 42306 2873.981657 780.073276
2420 42163 3499.053341 845.004933
2421 41934 3176.028545 421.670768
2422 41891 742.943663 2679.990428
2423 41842 3077.992280 3165.870919
2424 42014 2184.115914 2643.370234
2425 41948 3689.023362 3660.048632
