SourceID Photons AvgX AvgY
2401 41115 1996.507163 433.137201
2402 41312 934.744650 1816.225963
2403 41613 3532.923485 432.963112
2404 41387 2276.816633 1630.932708
2405 41603 2468.500373 513.510732
2406 41456 2934.947294 1154.839589
2407 41686 635.591925 3776.531929
2408 41475 1368.960964 2064.124316
2409 41498 2046.899995 2629.067714
2410 41554 342.310945 1569.852914
2411 41231 2780.231864 3192.943247
2412 41691 492.287376 1999.695882
2413 41302 2583.928551 2105.409859
2414 41422 788.792357 2464.831225
2415 41506 1129.329230 1034.166892
2416 41286 3636.478927 425.838299
2417 41633 918.205774 3507.862201
2418 41553 1565.232113 3018.564821
2419 41790 2870.477722 783.970735
2420 41722 3495.421097 848.758904
2421 41264 3172.667046 425.344465
2422 41230 740.887461 2682.223987
2423 41328 3074.349424 3167.834398
2424 41168 2181.322605 2645.938739
2425 41731 3685.100693 3661.978122
