SourceID Photons AvgX AvgY
3351 41907 1337.558236 3507.997304
3352 41411 2830.939147 363.345319
3353 41523 644.083135 890.436047
3354 41897 1579.005036 3665.996921
3355 41507 3318.276243 2200.474113
3356 41285 805.999782 2774.569335
3357 41644 1709.119489 2513.991547
3358 41778 1082.895208 1945.442936
3359 41568 3261.670011 3728.007891
3360 41525 2377.109597 3591.021457
3361 41214 2807.486873 1208.594822
3362 41641 1114.891525 2436.980860
3363 41605 248.802668 2620.117221
3364 41920 561.859303 3676.999571
3365 41467 535.840234 2090.908120
3366 41105 3507.967230 396.318842
3367 41418 885.346250 321.050437
3368 41670 508.001680 3149.008255
3369 41867 2113.097332 3752.112284
3370 41660 2887.222684 3549.695775
3371 41619 320.098489 1637.312958
3372 41456 1817.534253 3484.723393
3373 41532 644.877010 1603.935905
3374 41516 1303.279820 403.350154
3375 41388 3126.389751 1372.014183
