SourceID Photons AvgX AvgY
926 20161 326.163583 3184.835574
927 20581 3619.059521 3494.457995
928 20148 545.182202 3201.268414
929 20464 3694.087959 1414.502981
930 20518 2144.248855 3293.954918
931 20213 3036.057191 1526.299708
932 20166 2563.000793 2221.968065
933 20358 1296.061696 1907.999067
934 20285 1533.314666 1790.461671
935 20374 984.898842 1824.779474
936 20165 2152.857873 1559.102752
937 20226 310.707654 1551.415703
938 20353 611.404363 3231.338574
939 20360 1595.754519 1947.855550
940 20051 343.996858 623.640168
941 20397 3673.834976 1823.671913
942 20346 3533.435221 3167.395213
943 20314 990.583046 2495.030176
944 20062 951.542119 1686.456435
945 20565 3267.671578 3714.104838
946 20210 1356.117170 1961.640524
947 20540 2339.151850 3172.611977
948 20464 2601.354769 3366.186962
949 20298 365.044192 3256.909843
950 20645 3231.976944 3077.464471
