SourceID Photons AvgX AvgY
426 29879 3572.807691 3470.001707
427 29382 879.025015 1622.185998
428 29443 2512.982984 1092.837788
429 29968 3524.810898 1772.896757
430 29895 1788.131293 490.048369
431 29757 3279.862520 867.785966
432 29507 424.198529 1631.655234
433 29430 667.161876 1495.015019
434 29497 768.979591 566.996101
435 29737 1675.122944 2906.117900
436 29541 1051.991537 1543.154091
437 29719 1647.880750 3745.424038
438 29603 1461.669290 1122.065601
439 29753 354.327093 2923.008369
440 29641 2611.997503 2345.625890
441 29458 1945.236778 1857.987711
442 29546 1527.943004 1352.949570
443 29588 1146.937508 3447.990908
444 29934 752.007851 3134.997160
445 29832 1391.036404 2986.139850
446 29486 1776.922302 2787.019263
447 29539 1516.970412 439.022614
448 29879 567.297299 2498.002811
449 30000 3330.356700 1250.123800
450 29626 2494.133633 1587.961858
