SourceID Photons AvgX AvgY
426 41642 3565.873685 3472.000408
427 41123 871.117039 1623.966856
428 41147 2505.691229 1093.976766
429 41683 3517.862486 1774.003143
430 41461 1780.773257 491.020549
431 40983 3272.824854 868.933704
432 41057 416.228731 1632.991256
433 41267 659.262437 1496.221048
434 41139 761.013612 567.993899
435 41173 1667.694679 2908.011440
436 40942 1044.094329 1544.945630
437 41235 1640.095598 3747.716357
438 41187 1453.976886 1123.288586
439 41148 346.292700 2924.989088
440 41167 2604.805354 2347.012510
441 41061 1937.947615 1859.061567
442 40981 1520.138650 1353.998414
443 41008 1139.030555 3449.990685
444 41410 744.052837 3136.985342
445 41220 1383.284959 2988.019141
446 41128 1769.178905 2788.992584
447 41155 1509.185810 440.006998
448 41044 559.339879 2499.938481
449 41328 3323.330115 1251.673660
450 41179 2486.981131 1589.006411
