SourceID Photons AvgX AvgY
4276 41627 1077.639032 1758.985274
4277 41065 3556.080409 3278.457226
4278 41083 2444.404815 3611.974126
4279 41481 2068.110026 1898.007256
4280 41159 3139.072208 1236.961612
4281 40620 3652.525258 3173.975357
4282 41321 1639.702790 1183.997072
4283 41443 1115.186642 3338.026977
4284 41384 933.374154 557.540837
4285 40999 2865.770994 540.992512
4286 40932 2898.071484 2932.084311
4287 41557 414.352071 1321.784104
4288 41087 3035.554774 2361.971743
4289 41208 3124.759052 670.010944
4290 41342 538.804968 2698.190242
4291 40948 3141.627992 3091.037731
4292 41086 1726.978046 1160.921409
4293 41234 2518.892564 1335.022675
4294 41633 2180.225302 3175.913122
4295 41504 765.060524 2228.914346
4296 41241 2358.989792 524.457748
4297 41305 1261.316983 2733.999976
4298 41325 1193.297302 3077.956854
4299 41366 777.740366 1576.967606
4300 41274 589.750157 1989.997577
