SourceID Photons AvgX AvgY
4476 28631 505.137543 399.732318
4477 27805 2149.982845 2449.080273
4478 28191 716.482069 2616.002341
4479 28607 280.010242 961.016465
4480 28388 1839.962590 1583.105573
4481 28467 244.919591 3050.976675
4482 28228 1580.671603 2074.988557
4483 28373 323.002573 3288.988052
4484 28347 299.884079 3676.448513
4485 27251 3619.597556 2058.257679
4486 28290 881.020679 3693.011135
4487 27793 3521.669449 1127.072644
4488 28139 1192.186929 1590.236718
4489 28413 1771.236617 2455.422905
4490 28216 1010.017614 1188.577651
4491 27746 2894.935054 1150.181684
4492 28470 214.970882 981.235933
4493 27787 3300.009609 1560.014359
4494 28769 954.763461 2191.983906
4495 28393 2273.956539 841.142112
4496 28018 1819.856342 625.241916
4497 28479 217.007901 2361.761263
4498 28171 3164.772390 1733.215328
4499 28019 2661.141226 867.601949
4500 28217 1189.040401 374.722012
