SourceID Photons AvgX AvgY
3776 21442 3118.084414 1679.677082
3777 21316 2952.032182 1173.978936
3778 21316 1740.410161 1582.470867
3779 21469 1218.548512 1936.016256
3780 21267 3422.044247 2230.205765
3781 21367 882.162400 1626.846305
3782 21606 3301.174535 3097.985652
3783 21445 2807.112474 3688.998415
3784 21580 1586.108758 941.354773
3785 21490 927.111866 1415.678641
3786 21718 1165.840639 1650.982365
3787 21261 3405.938996 1013.013969
3788 21632 3027.300342 1420.980862
3789 21586 1328.244047 2249.961873
3790 21572 2466.032264 3623.068098
3791 21997 1780.962859 1638.319225
3792 21405 3585.034992 729.962812
3793 21345 2188.519560 2602.663434
3794 21575 2493.645840 1711.004450
3795 21554 839.711005 741.965668
3796 21599 2771.947312 1071.996898
3797 21642 1400.091165 3476.692542
3798 21513 332.958118 2189.070887
3799 21301 2123.675508 1225.055537
3800 21086 729.387508 2625.892915
