SourceID Photons AvgX AvgY
4326 41435 2559.095137 1662.992687
4327 41302 2464.951407 445.998450
4328 41053 2717.147590 1561.594963
4329 41327 2816.724877 3085.019697
4330 41516 1056.417478 343.051474
4331 40620 3360.984958 2336.065953
4332 41377 1119.735989 3705.908959
4333 41332 1558.161279 3151.989911
4334 41371 1622.813227 1713.194508
4335 41411 1372.943928 1323.066746
4336 41086 2083.195054 1223.026505
4337 41402 1266.045433 328.969398
4338 41266 1913.686764 1589.057941
4339 41230 3072.291074 2927.993282
4340 41278 834.975362 2846.158826
4341 40876 3132.063069 2959.364224
4342 41098 2157.027860 2914.548567
4343 41122 2712.089320 2835.990078
4344 41420 2834.049565 3672.967214
4345 41454 842.538669 3535.855599
4346 41320 1095.706002 3691.997652
4347 41175 2214.030990 1716.312447
4348 40984 3449.454885 2831.047775
4349 41224 1887.760698 885.955099
4350 41300 720.853341 595.971332
