SourceID Photons AvgX AvgY
2401 15760 1999.017386 429.857678
2402 15729 936.599148 1813.798271
2403 15813 3536.180674 429.259154
2404 15817 2279.303092 1628.009231
2405 15651 2471.167274 510.009265
2406 15888 2938.005035 1151.777631
2407 15915 637.092868 3775.003770
2408 15988 1371.028834 2061.846447
2409 15777 2049.246308 2626.980795
2410 15840 343.983586 1566.961490
2411 15777 2783.215187 3191.000254
2412 15621 494.012419 1997.008578
2413 15777 2586.912594 2102.979781
2414 15731 790.466023 2462.306084
2415 15802 1131.320276 1031.033413
2416 15808 3640.010564 422.062690
2417 15714 920.076938 3506.028191
2418 15687 1567.779308 3016.685345
2419 15587 2873.602682 780.761275
2420 15727 3498.972786 845.254785
2421 16022 3175.946261 421.965360
2422 16032 742.666105 2680.064184
2423 15913 3077.743606 3165.941180
2424 15736 2184.024466 2643.842018
2425 15445 3688.920622 3660.212755
