SourceID Photons AvgX AvgY
2401 20526 1994.608740 435.933255
2402 20822 933.146816 1818.321727
2403 20552 3530.179739 435.592643
2404 20763 2274.700188 1632.982565
2405 20784 2466.299461 516.126059
2406 20535 2932.549550 1157.049866
2407 20419 634.184387 3777.690142
2408 20750 1367.212867 2066.119566
2409 20706 2044.872501 2630.856370
2410 20806 341.192829 1571.920792
2411 20473 2778.022615 3194.211303
2412 20730 491.099711 2001.584998
2413 20677 2581.707114 2107.319340
2414 20743 787.254399 2466.414549
2415 20538 1127.892687 1036.703525
2416 20757 3633.830900 428.350291
2417 20519 916.912179 3509.005800
2418 20666 1563.658763 3020.025791
2419 20500 2868.114829 786.406537
2420 20730 3492.861119 851.116498
2421 20630 3170.076491 428.087252
2422 20800 739.388846 2683.987981
2423 20727 3071.975636 3169.088628
2424 20664 2179.348142 2647.507404
2425 20867 3682.510711 3663.109168
