SourceID Photons AvgX AvgY
51 20625 3558.130182 3585.989867
52 19989 1952.008955 2880.998349
53 17492 567.220844 1386.293849
54 19895 1158.998894 3657.707163
55 19382 790.411516 3617.239655
56 20208 2340.950960 3419.993023
57 20199 2255.532353 797.990643
58 18568 404.047878 3134.960200
59 20003 1997.931510 1047.008499
60 18660 979.016184 1573.877706
61 20583 3447.881650 2257.940582
62 20282 3268.998817 2647.740114
63 20442 2567.026025 2610.631494
64 19071 556.000210 3788.940223
65 18948 1103.048765 1065.008602
66 19438 554.006173 3639.979936
67 20128 2442.929402 1633.055843
68 20113 1863.040322 1628.588425
69 19736 1070.796818 2544.223855
70 17015 567.527064 700.469468
71 19599 1529.044951 1148.998571
72 18640 423.004453 3269.547800
73 19952 2148.983962 1906.018394
74 17635 948.594329 330.160306
75 19611 1598.187701 3320.773087
