SourceID Photons AvgX AvgY
2501 41004 3593.970466 3609.988172
2502 41309 1435.073858 1007.282481
2503 41552 335.793415 318.386480
2504 41403 3590.846412 571.670338
2505 41512 2406.008479 1785.669879
2506 41428 886.994931 1876.808028
2507 41698 3609.214687 422.795338
2508 41459 2336.061362 444.908367
2509 41332 1537.026638 1514.032783
2510 41504 1762.385023 895.167598
2511 41144 3679.967091 1166.180755
2512 41669 2203.621709 509.028894
2513 41206 1531.037179 2615.580085
2514 41313 2206.614020 1753.896740
2515 41457 3270.232144 1390.997347
2516 41151 2465.873952 2929.487546
2517 41545 1473.103382 2509.253990
2518 41484 2406.816074 320.264656
2519 41678 2196.903426 2827.603388
2520 41553 1843.984237 3143.981421
2521 41067 663.291207 2108.444542
2522 41193 2768.275022 2701.010342
2523 41295 343.115898 3491.085265
2524 41116 2790.878101 853.109811
2525 41685 1559.731894 1387.767782
