SourceID Photons AvgX AvgY
2376 41141 1715.674850 768.041540
2377 41333 339.913798 1901.020710
2378 41674 759.291069 669.120099
2379 41438 1749.968869 3044.066123
2380 41596 3508.829960 2596.832676
2381 41513 1326.056705 2514.367596
2382 41698 3628.967409 682.217948
2383 41524 3393.155236 1898.552572
2384 41402 1062.736148 2663.996594
2385 41510 3203.251048 3632.016671
2386 41237 3491.936926 828.053981
2387 41811 3311.253474 699.982851
2388 41296 3160.236948 2809.820830
2389 41416 2419.214193 1186.972161
2390 41578 2858.643056 3227.265116
2391 41321 1301.066722 1320.243290
2392 41705 3045.105407 843.733677
2393 41505 3682.998627 3414.847127
2394 41763 1935.892896 1227.110744
2395 41758 571.843072 2273.989655
2396 41297 283.942780 3515.976972
2397 41230 618.974994 3213.702062
2398 41424 3647.873865 3080.037490
2399 41072 2226.234174 597.730132
2400 41780 1888.079009 2516.261991
