SourceID Photons AvgX AvgY
1001 41750 1724.000359 510.998132
1002 41726 1919.954273 3526.238724
1003 41498 2099.011374 1995.875078
1004 41737 607.958478 1128.932386
1005 41746 2710.401404 1576.313994
1006 41119 602.370170 3737.117367
1007 41558 534.901896 1487.176356
1008 41719 1084.816271 2861.214147
1009 41621 1046.193484 1531.907499
1010 41481 3651.086980 474.507678
1011 41457 1510.948453 2840.854838
1012 41580 1048.274074 1559.966955
1013 41727 2666.586407 3721.996837
1014 41706 322.360548 1796.216132
1015 41613 2187.845601 3034.014995
1016 41330 2658.962497 403.815630
1017 41608 2405.975558 3490.448447
1018 41483 240.065111 1813.283996
1019 42022 260.084218 3343.017300
1020 41580 1196.009380 524.935017
1021 41660 2687.937206 2877.962530
1022 41371 417.034082 3279.141984
1023 41581 2973.479041 3520.736057
1024 41674 3062.741973 3324.467654
1025 41514 3531.021294 299.282820
