SourceID Photons AvgX AvgY
1601 14658 1368.003411 1086.247783
1602 14461 2802.379780 3293.604592
1603 14654 3198.587075 2787.002525
1604 14596 1993.013634 1387.195533
1605 14444 1779.779770 2278.877804
1606 14790 889.992765 388.590331
1607 14591 2106.030361 2438.009458
1608 14801 3546.210121 2840.332748
1609 14694 3507.004424 2045.481013
1610 14635 289.890946 353.628425
1611 14518 1220.432222 2040.991114
1612 14496 2840.027456 2085.002001
1613 14447 667.575137 1872.022288
1614 12872 767.039776 3265.213953
1615 14498 1650.022348 2412.156849
1616 14165 1874.927709 3203.675185
1617 14403 1849.987919 1799.683677
1618 14555 2630.237238 2070.963930
1619 14424 3232.738838 3334.720535
1620 13255 1422.093248 3436.005130
1621 14932 3205.023507 1687.943611
1622 15105 3141.715061 447.000066
1623 14915 2230.800000 351.998860
1624 14575 1506.740309 1249.979554
1625 11993 1033.024931 3755.847244
