SourceID Photons AvgX AvgY
4101 39909 3259.926483 680.952266
4102 40232 2571.388273 324.727530
4103 40928 1730.801285 3779.051383
4104 40554 2677.834764 3527.891873
4105 40928 594.263096 1508.984021
4106 40764 1608.762069 3009.100603
4107 40955 771.632817 3046.917348
4108 40647 701.108766 1133.297808
4109 40308 2563.981195 569.955269
4110 40453 1964.980768 551.723432
4111 40486 1994.856098 3300.903992
4112 40734 2484.314798 2514.031620
4113 40180 2945.903161 2638.057367
4114 40683 426.982081 792.259863
4115 40396 3140.818571 1371.021735
4116 40305 3030.020022 2983.725171
4117 40324 3676.968902 802.277577
4118 40647 1266.242035 970.137304
4119 40856 1741.086230 2298.672313
4120 40686 3386.935236 2595.020228
4121 40273 1502.129913 608.985996
4122 40338 2363.822004 2240.028286
4123 40545 1296.752177 1222.300481
4124 40127 2681.816283 2261.478680
4125 40556 2943.873212 1847.895281
