# ra 0.00000000000000000e+00 dec -8.52729075788638369e+01 rotSkyPos 1.18434959915902198e+02 MJD(TAI) 5.97253712509999968e+04
# id xmm ymm xpup ypup ra_obs dec_obs
22 -3.11886862998523725e+02 -1.67779490368649220e+02 -3.02085249307332722e-02 -1.62506713778805545e-02 2.42523325554143341e+01 -8.59993658424920113e+01
23 -3.05185873356019442e+02 -1.52635762464426193e+02 -2.95617834043052016e-02 -1.47850400154681573e-02 2.30880965271709506e+01 -8.60427654711401004e+01
24 -3.02347024962740704e+02 -1.78384689134005839e+02 -2.92850761924247326e-02 -1.72781895687418620e-02 2.41639588232975342e+01 -8.59205052123782309e+01
25 -3.00632884707909056e+02 -1.68826025612836247e+02 -2.91201424831917070e-02 -1.63529612719956301e-02 2.36008188457099060e+01 -8.59566178219941008e+01
26 -2.97786254875513919e+02 -1.32726099854421875e+02 -2.88475528122079383e-02 -1.28576222455580244e-02 2.16062107645358985e+01 -8.61023242919701914e+01
27 -2.79400279861523472e+02 -1.18088475075830615e+02 -2.70697897000243722e-02 -1.14410414616750548e-02 1.96948669113732322e+01 -8.60968392494825281e+01
28 -2.91447085726693899e+02 -1.09939922252941358e+02 -2.82357211441829972e-02 -1.06511031997699318e-02 1.99862246485945612e+01 -8.61750572887714839e+01
29 -2.89798863989937900e+02 -1.42120792465630984e+02 -2.80743005752218389e-02 -1.37679692416164262e-02 2.16007051417869889e+01 -8.60339259385068829e+01
30 -3.04921351576324014e+02 -1.43315138995386690e+02 -2.95369068268343145e-02 -1.38825499936234345e-02 2.26006837991758154e+01 -8.60821625633538048e+01
31 -3.05219608284566050e+02 -1.15159867700937610e+02 -2.95676139313393732e-02 -1.11559100927449226e-02 2.11367779175095194e+01 -8.62033464941229681e+01
32 -2.91905009363062902e+02 -1.34099991460858831e+02 -2.82785761311120619e-02 -1.29910645452158031e-02 2.13135900942044856e+01 -8.60754718151250415e+01
33 -3.09040809919348305e+02 -1.16433716520335906e+02 -2.99371014223398894e-02 -1.12790539908271086e-02 2.14494940074003182e+01 -8.62116603879174050e+01
34 -3.05502560483113143e+02 -1.40686831557540614e+02 -2.95933072666257242e-02 -1.36279991502082677e-02 2.25027590166375440e+01 -8.60955152152665590e+01
35 -3.01115002993516839e+02 -1.35823530573180307e+02 -2.91693063977304934e-02 -1.31573589489857225e-02 2.19758850045618672e+01 -8.61009427806194054e+01
36 -3.07365340877187577e+02 -1.15324697528677831e+02 -2.97751294270037319e-02 -1.11717469030396289e-02 2.12823594054275098e+01 -8.62103580453671583e+01
37 -3.11480282843587190e+02 -1.30646410660177963e+02 -3.01721033612947151e-02 -1.26553018709068543e-02 2.23618447179993751e+01 -8.61596295276740847e+01
38 -2.84331423386752931e+02 -1.42864851904237838e+02 -2.75453396324873735e-02 -1.38404008265186566e-02 2.13057460061245934e+01 -8.60112179782193920e+01
39 -2.97495915207462076e+02 -1.20444957037749717e+02 -2.88202455133258102e-02 -1.16682383025300002e-02 2.09356961940579325e+01 -8.61532245093839180e+01
40 -2.90700373588349294e+02 -1.12144227949948373e+02 -2.81633654566643618e-02 -1.08646536522251334e-02 2.00613596014025504e+01 -8.61631600810289484e+01
41 -3.09861400204248355e+02 -1.23328306298534699e+02 -3.00160314449427756e-02 -1.19467165560739556e-02 2.18720082288136659e+01 -8.61852547889820215e+01
42 -2.81577469796073501e+02 -1.16919655525357143e+02 -2.72805037773825622e-02 -1.13277071014232528e-02 1.97632342714170548e+01 -8.61097276455343490e+01
43 -3.00377851574755198e+02 -1.42752820559205418e+02 -2.90975233281335031e-02 -1.38284281101351061e-02 2.22872932719344305e+01 -8.60686709170115734e+01
44 -3.00117829052906245e+02 -1.26126930025558920e+02 -2.90734992864570031e-02 -1.22183717697580407e-02 2.14038243452095820e+01 -8.61386571437604687e+01
45 -2.92279210929588601e+02 -1.28514488795559657e+02 -2.83151332715572031e-02 -1.24500981989066114e-02 2.10424398924686358e+01 -8.61004081867558568e+01
46 -3.14116199730087374e+02 -1.27294211006501996e+02 -3.04272297140763918e-02 -1.23305012695782840e-02 2.23548865369306249e+01 -8.61832755891572617e+01
47 -3.04215224846315891e+02 -1.11184510330839345e+02 -2.94707017700737706e-02 -1.07709452972551776e-02 2.08559896458274068e+01 -8.62164678585364328e+01
48 -3.05526119441216622e+02 -1.32860238057429967e+02 -2.95961340545160788e-02 -1.28700924924330853e-02 2.20990641633359601e+01 -8.61291946947229974e+01
49 -3.07613801804289153e+02 -1.09553904892946875e+02 -2.97994936988382163e-02 -1.06128232198681900e-02 2.09830458863011096e+01 -8.62356089205651841e+01
50 -2.90788545437862410e+02 -1.40258740704516327e+02 -2.81701641878727808e-02 -1.35875770088571095e-02 2.15653257015484101e+01 -8.60453666818717977e+01
51 -2.80697611439519278e+02 -6.92922607303891169e+01 -2.71974652695257564e-02 -6.71389344924205964e-03 1.69763340502014337e+01 -8.62990241445213826e+01
52 -2.96759634144889503e+02 -7.63482304142801240e+01 -2.87511868927630906e-02 -7.39690304544914513e-03 1.83955506044560870e+01 -8.63325632270308887e+01
53 -3.10605071885598534e+02 -9.13019957390707049e+01 -3.00897404450570297e-02 -8.84484383087022832e-03 2.01516584480976739e+01 -8.63228829551377999e+01
54 -3.04695483561110905e+02 -6.85840904165782206e+01 -2.95191091789713152e-02 -6.64447411325466177e-03 1.84357805813458988e+01 -8.63940739640440114e+01
55 -3.08380828343575558e+02 -6.89882378416659208e+01 -2.98755490180980070e-02 -6.68349421195084479e-03 1.86975441515397200e+01 -8.64063696625288884e+01
56 -2.92874967501853746e+02 -7.09565825165403794e+01 -2.83755839889751754e-02 -6.87472365406577475e-03 1.78294167828194645e+01 -8.63394551489974020e+01
57 -2.93717791004366120e+02 -9.71802917764978389e+01 -2.84560334527571047e-02 -9.41504300534390035e-03 1.94135352498080991e+01 -8.62361635352821310e+01
58 -3.12243227082861040e+02 -7.38149684763467206e+01 -3.02489250166948290e-02 -7.15091074163851266e-03 1.92372297321147414e+01 -8.64011597792712251e+01
59 -2.96296697731876293e+02 -9.46894702165340192e+01 -2.87056242150019944e-02 -9.17364374952676746e-03 1.94334093507395025e+01 -8.62560048193398217e+01
60 -3.06487469032271918e+02 -8.94257983922381783e+01 -2.96915896733791762e-02 -8.66330398583795187e-03 1.97788158520799229e+01 -8.63155025227076038e+01
61 -2.81799990947051811e+02 -8.25761854358970737e+01 -2.73036534882787583e-02 -8.00082195158485256e-03 1.78342666612591287e+01 -8.62504226694582599e+01
62 -2.83588525069251432e+02 -7.86776083285162997e+01 -2.74768538194316396e-02 -7.62306282448216733e-03 1.77141556690094397e+01 -8.62728980733766946e+01
63 -2.90606994342369717e+02 -7.90509044094838202e+01 -2.81558749804074020e-02 -7.65896012474967091e-03 1.81700610800276969e+01 -8.62982566432284699e+01
64 -3.10726813824038061e+02 -6.72740108025455896e+01 -3.01025074641499725e-02 -6.51735325768744433e-03 1.87461954160406528e+01 -8.64221843017089668e+01
65 -3.05244563670737023e+02 -9.45128881727590340e+01 -2.95711358126788462e-02 -9.15611213053397696e-03 1.99903002102059091e+01 -8.62898491152179474e+01
66 -3.10745973226566434e+02 -6.87634357866449761e+01 -3.01043076654684237e-02 -6.66163299096570946e-03 1.88373164408945364e+01 -8.64161933806207259e+01
67 -2.91848450394884026e+02 -8.88254148664647687e+01 -2.82755762210164414e-02 -8.60580135005629791e-03 1.88184836165402842e+01 -8.62633560016414691e+01
68 -2.97644703447978088e+02 -8.88750896952472687e+01 -2.88362874266017005e-02 -8.61035859811657735e-03 1.91846864833868800e+01 -8.62848995377584345e+01
69 -3.05574093993185102e+02 -7.97186850439620827e+01 -2.96036687917341883e-02 -7.72305504604280709e-03 1.91554708876292707e+01 -8.63520509248007500e+01
70 -3.10599670942748730e+02 -9.81617744880320373e+01 -3.00888795646155754e-02 -9.50927540088659061e-03 2.05408468990795683e+01 -8.62942498008236782e+01
71 -3.00983775766350334e+02 -9.36718527005052550e+01 -2.91590561575147053e-02 -9.07485065039789415e-03 1.96711304855262554e+01 -8.62775982751123962e+01
72 -3.12054971906001526e+02 -7.24684169550711914e+01 -3.02307698955202667e-02 -7.02048111677352517e-03 1.91446841741692992e+01 -8.64059728936889826e+01
73 -2.94788825994284423e+02 -8.60970612663017789e+01 -2.85601442487884022e-02 -8.34137617282015853e-03 1.88441937685102516e+01 -8.62855378912863955e+01
74 -3.06787373936238680e+02 -1.01862542332072948e+02 -2.97199840899903846e-02 -9.86791959079897502e-03 2.05036525715296101e+01 -8.62648879142145120e+01
75 -3.00299799083076664e+02 -7.19524387998188786e+01 -2.90938030086900085e-02 -6.97093400271517425e-03 1.83575426689345065e+01 -8.63637743493811456e+01
76 -2.37098225971019161e+02 -1.86375573585254642e+02 -2.29715515601991126e-02 -1.80572253573026489e-02 2.07325580283680218e+01 -8.56573873127115633e+01
