# ra 5.30091384730315553e+01 dec -2.74389488088151232e+01 rotSkyPos 2.56750753181930804e+02 MJD(TAI) 5.95801395550000016e+04
# id xmm ymm xpup ypup ra_obs dec_obs
25 -2.97204169354966723e+02 -1.40328352461461321e+02 -2.87907332053489590e-02 -1.35938744252229321e-02 5.25877077874875596e+01 -2.56547333544386760e+01
26 -2.97204932325647746e+02 -1.33328352503041629e+02 -2.87912844187478700e-02 -1.29159852360460972e-02 5.26296045462282365e+01 -2.56637099204492323e+01
27 -2.97205695296328713e+02 -1.26328352544621936e+02 -2.87918112542734812e-02 -1.22380632003084074e-02 5.26715100119462960e+01 -2.56726764747331053e+01
28 -2.97206458267009737e+02 -1.19328352586202243e+02 -2.87923137048358008e-02 -1.15601100379068063e-02 5.27134240375954590e+01 -2.56816329781168058e+01
29 -3.04204169313386444e+02 -1.40329115432142345e+02 -2.94677627182938461e-02 -1.35934529936124378e-02 5.25977297725597452e+01 -2.56170468685377521e+01
30 -3.04204932284067411e+02 -1.33329115473722624e+02 -2.94683250641031048e-02 -1.29155884679085353e-02 5.26396119635659474e+01 -2.56260191163379289e+01
31 -3.04205695254748434e+02 -1.26329115515302931e+02 -2.94688624632564317e-02 -1.22376911027512608e-02 5.26815028361160316e+01 -2.56349814046103539e+01
32 -3.04206458225429458e+02 -1.19329115556883238e+02 -2.94693749085043408e-02 -1.15597626176631614e-02 5.27234022432876657e+01 -2.56439336942340361e+01
33 -2.83244657077013358e+02 -9.81435170187033350e+01 -2.74427645012157821e-02 -9.50884458919566168e-03 5.28204760168567162e+01 -2.57839202146049544e+01
34 -2.83247198032002359e+02 -9.11435174798785113e+01 -2.74433253547314050e-02 -8.83073591390778900e-03 5.28624548196280983e+01 -2.57928342447809094e+01
35 -2.83249738986991360e+02 -8.41435179410536875e+01 -2.74438629342912271e-02 -8.15260477005913878e-03 5.29044414826570275e+01 -2.58017379223668222e+01
36 -2.83252279941980362e+02 -7.71435184022288638e+01 -2.74443772348213107e-02 -7.47445288237684729e-03 5.29464358576810028e+01 -2.58106312089273651e+01
37 -2.90244656615838153e+02 -9.81460579736923506e+01 -2.81199964707647652e-02 -9.50876007854506607e-03 5.28304136427372057e+01 -2.57461964428787837e+01
38 -2.90247197570827154e+02 -9.11460584348675269e+01 -2.81205650249999467e-02 -8.83067497099497556e-03 5.28723777766894756e+01 -2.57551064838993256e+01
39 -2.90249738525816156e+02 -8.41460588960427032e+01 -2.81211097349346288e-02 -8.15256739935847109e-03 5.29143497461914123e+01 -2.57640062248600650e+01
40 -2.90252279480805157e+02 -7.71460593572178794e+01 -2.81216305953869670e-02 -7.47443908800360639e-03 5.29563294031067500e+01 -2.57728956273725416e+01
41 -2.97244656154663005e+02 -9.81485989286813520e+01 -2.87971570380830023e-02 -9.50866755009524209e-03 5.28403440316956008e+01 -2.57084775157469387e+01
42 -2.97247197109652006e+02 -9.11485993898565283e+01 -2.87977332879373812e-02 -8.83060658038718749e-03 5.28822934696514011e+01 -2.57173835626446241e+01
43 -2.97249738064641008e+02 -8.41485998510317046e+01 -2.87982851235082070e-02 -8.15252315117944229e-03 5.29242507184756477e+01 -2.57262793620024333e+01
44 -2.97252279019630009e+02 -7.71486003122068809e+01 -2.87988125395059261e-02 -7.47441898647240120e-03 5.29662156301589064e+01 -2.57351648754788300e+01
45 -3.04244655693487800e+02 -9.81511398836703677e+01 -2.94742445072665796e-02 -9.50856700836420592e-03 5.28502671664121664e+01 -2.56707635633387667e+01
46 -3.04247196648476802e+02 -9.11511403448455440e+01 -2.94748284475254523e-02 -8.83053074623650451e-03 5.28922018812786519e+01 -2.56796656111742827e+01
47 -3.04249737603465803e+02 -8.41511408060207202e+01 -2.94753874038878767e-02 -8.15247202930808289e-03 5.29341443823592712e+01 -2.56885574639787286e+01
48 -3.04252278558454805e+02 -7.71511412671958965e+01 -2.94759213709567119e-02 -7.47439258120305514e-03 5.29760945217718771e+01 -2.56974390834576134e+01
49 -2.40985509127808172e+02 -1.82589799172825508e+02 -2.33480823789149992e-02 -1.76903652342668555e-02 5.22534849436531417e+01 -2.59029177428328836e+01
50 -2.40985880167353685e+02 -1.75589799182659107e+02 -2.33486254085492409e-02 -1.70125338622793311e-02 5.22954401777738624e+01 -2.59119930554482210e+01
51 -2.40986251206899198e+02 -1.68589799192492706e+02 -2.33491486804667699e-02 -1.63346592083210597e-02 5.23374052154817946e+01 -2.59210581791725261e+01
52 -2.40986622246444711e+02 -1.61589799202326276e+02 -2.33496521871496866e-02 -1.56567429892733000e-02 5.23793799098762207e+01 -2.59301130736123042e+01
53 -2.47985509117974573e+02 -1.82590170212371021e+02 -2.40255709049818494e-02 -1.76898767052677645e-02 5.22636518445980016e+01 -2.58652222154017721e+01
54 -2.47985880157520086e+02 -1.75590170222204591e+02 -2.40261285701648328e-02 -1.70120653753998985e-02 5.23055928903033589e+01 -2.58742929346223036e+01
55 -2.47986251197065599e+02 -1.68590170232038190e+02 -2.40266659072797956e-02 -1.63342107712160962e-02 5.23475437132621053e+01 -2.58833535168908107e+01
56 -2.47986622236611112e+02 -1.61590170241871789e+02 -2.40271829085958594e-02 -1.56563146092942827e-02 5.23895041666896688e+01 -2.58924039218707591e+01
57 -2.54985509108140974e+02 -1.82590541251916505e+02 -2.47029983831120459e-02 -1.76893732553433103e-02 5.22738119416930900e+01 -2.58275308032900526e+01
58 -2.54985880147686487e+02 -1.75590541261750104e+02 -2.47035706758824587e-02 -1.70115825376829441e-02 5.23157387710271067e+01 -2.58365969240482123e+01
59 -2.54986251187232000e+02 -1.68590541271583703e+02 -2.47041220705416335e-02 -1.63337485535786399e-02 5.23576753512997541e+01 -2.58456529597864204e+01
60 -2.54986622226777513e+02 -1.61590541281417302e+02 -2.47046525591459072e-02 -1.56558730192964332e-02 5.23996215358431456e+01 -2.58546988702252207e+01
