SourceID Photons AvgX AvgY
61918586240004 29053 3840.994011 26.989777
61892188104708 28357 266.992524 3007.041365
61892190141444 28796 1700.005904 2697.990554
61892190021636 29032 2885.377032 2738.299807
61918551136260 28698 2085.005715 3238.992090
61735093219332 0 -nan -nan
61918577494020 28974 2210.038379 821.002934
61918565872644 28356 100.974820 1846.022288
61892181994500 28806 2830.206658 4037.705652
61892184750084 28544 1402.346763 3570.509669
61892199726084 29042 2812.934199 1104.006990
61740566168580 29077 2779.251092 598.228531
61892197329924 28635 1210.330574 1492.021652
68450846724 28583 8.804954 3120.037190
