SourceID Photons AvgX AvgY
61892167976964 35990 2349.965296 2517.717227
61918542270468 36041 2945.229211 334.555340
61918527054852 36017 3218.994725 1761.823750
61740284619780 35969 348.189274 2466.535016
61892157553668 36169 1041.005170 4042.176035
61892160189444 36122 2508.589724 3699.464232
61918510281732 36065 3566.786608 3327.925385
61892156715012 0 -nan -nan
61892157673476 0 -nan -nan
61892172769284 0 -nan -nan
61918543588356 35800 634.138464 165.227877
61918538796036 36128 407.970106 606.683348
61892178879492 36217 2222.036972 804.343651
