SourceID Photons AvgX AvgY
61892167976964 44337 2349.995173 2521.813294
61918542270468 44250 2945.883096 337.968859
61918527054852 44229 3219.129056 1765.676818
61740284619780 44089 347.959264 2470.598970
61892157553668 44173 1040.938447 4046.881126
61892160189444 43847 2508.913358 3703.945310
61918510281732 44080 3567.023525 3332.143966
61892156715012 0 -nan -nan
61892157673476 0 -nan -nan
61892172769284 0 -nan -nan
61918543588356 44488 633.966328 168.780053
61918538796036 44207 407.206687 610.017780
61892178879492 44481 2222.048672 807.975967
