SourceID Photons AvgX AvgY
61850004306948 28626 2656.009222 2412.004681
61892291019780 29132 3282.989977 2961.822292
61892290300932 29131 3144.934262 3273.997837
61740941047812 29300 3882.179898 3648.766451
61850005505028 0 -nan -nan
61740942006276 28647 242.608860 3433.001222
61892293895172 28750 1720.212626 1705.954157
61740944761860 28620 77.000175 2752.005940
61892293176324 28642 1738.940926 2012.243035
67603116535812 28691 2149.034645 1547.993622
61918842988548 28441 1443.959601 375.273021
