SourceID Photons AvgX AvgY
2705 9555 3298.307274 700.383046
2706 10016 3298.307708 1400.314996
2707 10287 3298.326334 2100.235540
2708 10935 3298.314586 2800.174577
2709 10588 2598.324613 700.296562
2710 11125 2598.322607 1400.224989
2711 11713 2598.305899 2100.154615
2712 12372 2598.295829 2800.109845
2713 11925 1898.309099 700.217526
2714 12560 1898.300717 1400.155175
2715 13161 1898.297622 2100.109110
2716 13607 1898.285735 2800.071287
2717 13054 1198.295542 700.159108
2718 13672 1198.301053 1400.106422
2719 14138 1198.284128 2100.069812
2720 14562 1198.294259 2800.043126
