SourceID Photons AvgX AvgY
2625 40915 3299.987217 699.698399
2626 40793 3299.987179 1399.774716
2627 40847 3299.986021 2099.845105
2628 40825 3299.987532 2799.893815
2629 40923 2599.979229 699.662879
2630 41002 2599.978123 1399.760109
2631 40991 2599.978215 2099.830451
2632 41065 2599.980032 2799.884451
2633 40929 1899.967700 699.629407
2634 41034 1899.969830 1399.732685
2635 41016 1899.971255 2099.811854
2636 41215 1899.972170 2799.875240
2637 41239 1199.957249 699.607047
2638 41145 1199.959655 1399.711678
2639 41519 1199.960115 2099.796479
2640 41358 1199.962619 2799.862155
