SourceID Photons AvgX AvgY
2241 15627 3298.984002 699.995969
2242 15724 3298.982256 1399.997647
2243 15512 3298.981885 2099.996132
2244 15521 3298.978867 2799.996005
2245 15649 2598.987986 699.997188
2246 15624 2598.985791 1399.996480
2247 15595 2598.985188 2099.995704
2248 15848 2598.985929 2799.996025
2249 15726 1898.988808 699.995485
2250 15827 1898.988248 1399.997030
2251 15732 1898.990084 2099.995678
2252 15814 1898.987732 2799.996396
2253 15526 1198.992078 699.997875
2254 15699 1198.990955 1399.995923
2255 15793 1198.991958 2099.994618
2256 15771 1198.992328 2799.997591
