SourceID Photons AvgX AvgY
1793 20174 3297.685784 674.183900
1794 19904 3297.678256 1373.509244
1795 20116 3297.685922 2072.749254
1796 19899 3297.675260 2771.936429
1797 20279 2598.254500 674.190838
1798 19932 2598.262643 1373.518513
1799 19831 2598.258736 2072.750895
1800 19878 2598.263860 2771.933595
1801 19982 1899.061756 674.180012
1802 20109 1899.056194 1373.516137
1803 19818 1899.062822 2072.747704
1804 19947 1899.060811 2771.931067
1805 20294 1199.914556 674.185326
1806 20098 1199.916111 1373.514778
1807 20117 1199.911219 2072.756475
1808 20345 1199.914967 2771.933006
