SourceID Photons AvgX AvgY
2225 42043 3299.886426 699.992127
2226 41813 3299.885179 1399.996197
2227 41827 3299.883640 2100.000478
2228 41843 3299.879263 2800.004397
2229 42076 2599.864483 699.992038
2230 42043 2599.863735 1399.995291
2231 41985 2599.864237 2100.000500
2232 42065 2599.864020 2800.004398
2233 41929 1899.837893 699.990412
2234 41977 1899.836744 1399.994831
2235 41931 1899.838592 2100.000525
2236 42097 1899.840036 2800.005725
2237 42194 1199.804901 699.990307
2238 41961 1199.806535 1399.994781
2239 42252 1199.809926 2100.001538
2240 42131 1199.805678 2800.005293
