SourceID Photons AvgX AvgY
2129 40129 3287.865608 708.719928
2130 40770 3287.861467 1408.107555
2131 41022 3287.861172 2107.861050
2132 41018 3287.865766 2807.216149
2133 40985 2588.134781 708.700842
2134 40681 2588.140213 1408.105110
2135 40628 2588.149823 2107.851777
2136 40742 2588.158215 2807.210937
2137 40419 1888.750043 708.685890
2138 40407 1888.756577 1408.106046
2139 40628 1888.760559 2107.845919
2140 40886 1888.763831 2807.208898
2141 41061 1189.033438 708.674216
2142 40716 1189.033427 1408.103571
2143 40904 1189.038065 2107.837669
2144 41079 1189.045181 2807.206772
