SourceID Photons AvgX AvgY
1777 40564 3298.073464 687.873829
1778 41031 3298.073457 1387.367600
1779 41127 3298.074306 2086.938580
1780 41071 3298.074554 2786.576782
1781 41372 2598.763246 687.872426
1782 40860 2598.764758 1387.369432
1783 40719 2598.760407 2086.942926
1784 40662 2598.760415 2786.573705
1785 40652 1899.015301 687.871150
1786 40658 1899.015864 1387.368636
1787 40504 1899.018443 2086.937907
1788 40849 1899.016891 2786.576514
1789 41214 1199.460523 687.872932
1790 40630 1199.468004 1387.369259
1791 40797 1199.463686 2086.938770
1792 40810 1199.472850 2786.574908
