SourceID Photons AvgX AvgY
769 15660 3299.007471 700.003831
770 15762 3299.008057 1400.004060
771 15584 3299.007251 2100.001540
772 15599 3299.006090 2800.001218
773 15639 2599.010934 700.004092
774 15668 2599.010595 1400.003638
775 15621 2599.008962 2100.003137
776 15859 2599.008576 2800.001324
777 15723 1899.014374 700.004007
778 15826 1899.013585 1400.004486
779 15746 1899.012321 2100.004128
780 15827 1899.010425 2800.003665
781 15474 1199.017384 700.003684
782 15715 1199.016354 1400.005345
783 15758 1199.015357 2100.003427
784 15739 1199.014423 2800.003685
