SourceID Photons AvgX AvgY
1233 40198 3298.075675 713.919573
1234 40906 3298.075246 1413.313230
1235 41163 3298.074606 2113.009717
1236 41129 3298.073938 2812.485594
1237 41034 2598.760735 713.920870
1238 40699 2598.765473 1413.316101
1239 40641 2598.765016 2113.010088
1240 40764 2598.770974 2812.486483
1241 40371 1899.019469 713.914988
1242 40330 1899.016563 1413.313018
1243 40566 1899.017995 2113.008653
1244 41000 1899.019537 2812.491024
1245 40755 1199.486419 713.919985
1246 40569 1199.487367 1413.315857
1247 40861 1199.478182 2113.010817
1248 40946 1199.480755 2812.487838
