SourceID Photons AvgX AvgY
2385 21346 3297.145554 698.034854
2386 21402 3297.131857 1398.010186
2387 21539 3297.121222 2097.988300
2388 21322 3297.113545 2797.959056
2389 21680 2597.249216 698.045526
2390 21292 2597.236192 1398.011413
2391 21643 2597.222936 2097.989927
2392 21510 2597.205904 2797.961785
2393 21454 1897.433812 698.048942
2394 21501 1897.406028 1398.012744
2395 21362 1897.394017 2097.989374
2396 21456 1897.364234 2797.958054
2397 21611 1197.622137 698.054324
2398 21708 1197.619679 1398.016722
2399 21459 1197.604828 2097.989282
2400 21408 1197.608885 2797.958987
