SourceID Photons AvgX AvgY
2049 29739 3296.020041 702.982683
2050 30035 3296.020210 1402.870185
2051 30178 3296.021241 2102.546027
2052 30396 3296.024510 2802.135544
2053 30050 2596.144027 702.981464
2054 30263 2596.142319 1402.865876
2055 30339 2596.150071 2102.538317
2056 30315 2596.153785 2802.132773
2057 30369 1896.487998 702.981494
2058 30320 1896.493239 1402.862599
2059 30432 1896.496254 2102.530034
2060 30395 1896.505083 2802.132390
2061 30124 1196.874718 702.981510
2062 30091 1196.876209 1402.855040
2063 30409 1196.874741 2102.521589
2064 30025 1196.879700 2802.133555
