SourceID Photons AvgX AvgY
1793 21060 3298.990503 697.010589
1794 21163 3298.989415 1396.982091
1795 21230 3298.989590 2096.929581
1796 20917 3298.990056 2796.847062
1797 21355 2598.997846 697.014236
1798 21001 2598.996619 1396.984239
1799 21328 2598.996062 2096.930983
1800 21104 2598.995498 2796.844816
1801 21171 1899.000094 697.013556
1802 21179 1899.000661 1396.981633
1803 20976 1899.000810 2096.926487
1804 20966 1899.000000 2796.845750
1805 21267 1199.004326 697.011943
1806 21311 1199.005349 1396.980620
1807 21036 1199.004849 2096.930738
1808 20944 1199.006255 2796.846782
