SourceID Photons AvgX AvgY
1185 40164 3300.921223 713.924783
1186 40818 3300.920427 1413.319001
1187 41189 3300.921071 2113.011969
1188 41205 3300.921005 2812.493872
1189 40993 2601.100529 713.930256
1190 40576 2601.099591 1413.322161
1191 40669 2601.099462 2113.014753
1192 40840 2601.100343 2812.497747
1193 40257 1901.795762 713.929031
1194 40340 1901.794993 1413.323079
1195 40560 1901.796252 2113.015237
1196 40901 1901.787609 2812.506980
1197 40803 1202.029753 713.936132
1198 40454 1202.030875 1413.325580
1199 40689 1202.029394 2113.017474
1200 40822 1202.029837 2812.509431
