SourceID Photons AvgX AvgY
593 40412 3308.629689 708.685910
594 40999 3308.616820 1408.108905
595 41290 3308.607169 2107.839889
596 41297 3308.589728 2807.210064
597 41307 2609.031932 708.696105
598 40729 2609.031869 1408.110977
599 40790 2609.032385 2107.851385
600 40819 2609.032044 2807.214263
601 40306 1909.412569 708.705652
602 40507 1909.406769 1408.112228
603 40523 1909.396836 2107.860153
604 40971 1909.387786 2807.222035
605 40949 1209.967325 708.721532
606 40446 1209.961331 1408.112174
607 40780 1209.954708 2107.864223
608 40841 1209.953992 2807.227492
