SourceID Photons AvgX AvgY
1169 19875 3302.082818 728.669786
1170 19755 3302.077499 1427.961934
1171 20057 3302.085656 2127.139702
1172 19999 3302.086654 2826.335717
1173 19957 2602.942476 728.668086
1174 19754 2602.938392 1427.963349
1175 19886 2602.933320 2127.137785
1176 20028 2602.928700 2826.338426
1177 19646 1903.726916 728.657131
1178 19943 1903.725066 1427.964348
1179 19857 1903.725789 2127.135972
1180 20112 1903.727128 2826.337361
1181 19805 1204.335117 728.660136
1182 19878 1204.330717 1427.964433
1183 20118 1204.324486 2127.141714
1184 20501 1204.313009 2826.343105
