SourceID Photons AvgX AvgY
1217 40275 3299.007871 698.991310
1218 40429 3299.006975 1398.990947
1219 40637 3299.007112 2098.988213
1220 40697 3299.006856 2798.989729
1221 40331 2599.003422 698.991471
1222 40473 2599.004324 1398.990735
1223 40637 2599.003027 2098.988656
1224 40868 2599.002373 2798.989013
1225 40111 1898.999776 698.992845
1226 40557 1898.999901 1398.990433
1227 40656 1898.999287 2098.989030
1228 40852 1898.999315 2798.989621
1229 40452 1198.995674 698.991447
1230 40477 1198.996294 1398.988685
1231 40911 1198.994745 2098.988096
1232 40788 1198.996739 2798.989874
