SourceID Photons AvgX AvgY
1969 14498 3299.339978 699.403849
1970 18773 3299.503436 1399.166090
1971 22931 3299.593563 2099.021368
1972 24762 3299.644253 2798.968742
1973 16857 2599.417809 699.233316
1974 21222 2599.532843 1399.053341
1975 24066 2599.591249 2098.969376
1976 26383 2599.627070 2798.952507
1977 19477 1899.451661 699.102018
1978 23218 1899.524808 1398.982643
1979 25580 1899.575332 2098.943041
1980 27862 1899.612124 2798.939739
1981 21868 1199.452945 699.000366
1982 24643 1199.492351 1398.934018
1983 26917 1199.544823 2098.926663
1984 29706 1199.591463 2798.933616
