SourceID Photons AvgX AvgY
2369 40721 3290.432504 693.007785
2370 41215 3290.417130 1392.708674
2371 41403 3290.411154 2092.103205
2372 41291 3290.394759 2791.843331
2373 41554 2590.911705 693.010252
2374 41010 2590.915069 1392.715557
2375 41038 2590.913154 2092.111677
2376 41033 2590.913460 2791.841347
2377 40857 1891.232420 693.012678
2378 40772 1891.227509 1392.723511
2379 40839 1891.222018 2092.115453
2380 41163 1891.212861 2791.846683
2381 41437 1191.830176 693.014842
2382 40987 1191.829922 1392.726718
2383 41187 1191.825479 2092.120669
2384 41128 1191.826371 2791.849397
