SourceID Photons AvgX AvgY
17 26795 3307.961523 704.366374
18 27518 3307.965877 1404.039574
19 27798 3307.966400 2103.984207
20 28057 3307.970489 2803.867377
21 24874 2608.103401 704.407856
22 25995 2608.077746 1404.064012
23 27021 2608.056586 2103.977980
24 27666 2608.046411 2803.853358
25 22384 1908.330370 704.454521
26 23874 1908.315490 1404.106601
27 25033 1908.303200 2103.965006
28 25770 1908.288359 2803.830695
29 19978 1208.534338 704.508459
30 20740 1208.521456 1404.157088
31 22120 1208.521790 2103.951175
32 22947 1208.512572 2803.796313
