SourceID Photons AvgX AvgY
2465 28774 3295.998540 692.613192
2466 28803 3295.998750 1392.089991
2467 28762 3295.998783 2092.010187
2468 28896 3295.998962 2791.976675
2469 29157 2596.031519 692.627019
2470 29084 2596.028882 1392.099092
2471 28990 2596.029389 2092.011107
2472 28851 2596.028214 2791.973762
2473 29413 1896.249720 692.635535
2474 29289 1896.245177 1392.102257
2475 29060 1896.242498 2092.012078
2476 28850 1896.247522 2791.971092
2477 29186 1196.841260 692.650278
2478 28940 1196.830788 1392.110954
2479 29234 1196.821372 2092.012999
2480 28565 1196.799860 2791.969473
