SourceID Photons AvgX AvgY
1201 27444 3298.672606 709.806697
1202 27893 3298.684150 1409.411322
1203 28171 3298.696354 2109.066416
1204 28599 3298.710270 2808.998986
1205 27688 2598.947775 709.805800
1206 28032 2598.957620 1409.407499
1207 28331 2598.964597 2109.067064
1208 28664 2598.971742 2808.998988
1209 28030 1899.003532 709.803496
1210 28326 1899.003495 1409.417920
1211 28361 1899.003526 2109.064878
1212 28527 1899.003330 2809.000175
1213 27706 1199.107341 709.807081
1214 27801 1199.082911 1409.414949
1215 28584 1199.068395 2109.067975
1216 28194 1199.056750 2808.999787
