SourceID Photons AvgX AvgY
1329 42139 3298.972306 699.358765
1330 41936 3298.970741 1399.455671
1331 42031 3298.968285 2099.547739
1332 41928 3298.965989 2799.651116
1333 42071 2598.963015 699.368235
1334 42002 2598.961621 1399.459073
1335 41949 2598.959046 2099.552099
1336 42108 2598.958416 2799.653344
1337 41947 1898.952368 699.378573
1338 41966 1898.949006 1399.462899
1339 42043 1898.948458 2099.549556
1340 42131 1898.948280 2799.653913
1341 42120 1198.929867 699.389031
1342 41986 1198.927619 1399.470705
1343 42256 1198.927229 2099.561601
1344 42217 1198.921335 2799.651017
