SourceID Photons AvgX AvgY
2689 7652 3294.421850 702.757449
2690 8760 3294.546575 1402.608219
2691 9983 3294.655615 2102.382450
2692 11176 3294.721188 2802.185039
2693 9835 2594.731876 702.646467
2694 11071 2594.832084 1402.476470
2695 12228 2594.893605 2102.292771
2696 12688 2594.925520 2802.130359
2697 11920 1895.014430 702.577601
2698 12510 1895.066267 1402.385691
2699 13165 1895.089859 2102.234333
2700 14072 1895.109935 2802.088900
2701 12940 1195.197063 702.533539
2702 13753 1195.218643 1402.327928
2703 14769 1195.217889 2102.173742
2704 15407 1195.203284 2802.040955
